2000;173448346;86169657;87278689
2001;175885229;87336165;88549064
2002;178276128;88480530;89795598
2003;180619108;89601782;91017326
2004;182911487;90698483;92213004
2005;185150806;91769282;93381524
2006;187335137;92813167;94521970
2007;189462755;93829262;95633493
2008;191532439;94816963;96715476
2009;193543969;95776055;97767914
2010;195497797;96706703;98791094
2011;197397018;97610297;99786721
2012;199242462;98487258;100755204
2013;201032714;99336858;101695856
2014;202768562;100159507;102609055
2015;204450649;100955522;103495127
2016;206081432;101726102;104355330
